CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2019 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
186,Brunei Darussalam,Brunei ,Asia-Pacific,63,14,65.1,64.0,56.0,43.7,90.7,59.9,20.0,80.2,90.8,76.5,84.0,65,50,0.5,0.0,18.5,24.2,36.6,Brunei Darussalam,0.4,$33.5 ,0.5,-1.4,"$78,196",7.1,-0.1,-46.3,2.7
23,Bulgaria,Bulgaria,Europe,37,19,69.0,62.5,41.9,35.1,90.2,63.9,98.8,62.7,68.4,88.0,86.0,70,60,2.0,10.0,10.0,28.0,34.7,Bulgaria,7.1,$153.1 ,3.6,2.7,"$21,687",6.2,1.2,"1,070.7",23.9
24,Burkina Faso,BurkinaFaso,Sub-Saharan Africa,96,9,59.4,49.1,42.9,36.6,81.9,80.0,61.8,51.6,52.3,86.2,65.2,65,40,7.4,27.5,28.0,16.3,25.8,Burkina Faso,18.9,$35.8 ,6.4,5.3,"$1,889",6.3,0.4,485.9,38.3
25,Burma,Burma,Asia-Pacific,139,35,53.6,34.7,18.1,30.6,86.6,85.4,78.3,52.8,65.7,69.6,70.8,30,20,4.6,20.0,30.0,6.5,22.1,Burma,52.6,$328.7 ,6.7,7.2,"$6,244",0.8,5.1,"4,341.0",34.7
26,Burundi,Burundi,Sub-Saharan Africa,162,39,48.9,20.6,31.0,26.2,74.0,83.3,23.3,50.3,67.5,62.2,68.2,50,30,5.9,35.0,35.0,12.3,23.6,Burundi,10.9,$8.0 ,0.0,1.1,$735,1.6,16.6,0.3,56.7
27,Cambodia,Cambodia,Asia-Pacific,105,22,57.8,37.4,27.6,16.7,89.7,85.9,89.1,29.9,63.0,79.4,65.4,60,50,9.8,20.0,20.0,15.0,21.7,Cambodia,16.0,$64.3 ,6.9,7.1,"$4,012",0.2,2.9,"2,784.4",35.1
28,Cameroon,Cameroon,Sub-Saharan Africa,145,29,52.4,42.5,31.3,25.5,74.4,87.5,58.4,44.4,47.8,84.0,53.4,30,50,15.8,35.0,33.0,15.6,20.4,Cameroon,24.3,$88.9 ,3.2,4.9,"$3,660",4.2,0.6,672.5,33.8
29,Canada,Canada,Americas,8,1,77.7,87.0,69.4,84.6,76.8,51.3,83.1,81.9,73.7,77.2,86.8,80,80,1.6,33.0,15.0,31.7,40.3,Canada,36.7,"$1,769.3 ",3.0,2.1,"$48,265",6.3,1.6,"24,243.8",89.7
30,Cabo Verde,CaboVerde,Sub-Saharan Africa,73,4,63.1,44.1,49.0,43.7,76.4,71.2,59.7,65.2,55.7,84.1,68.2,80,60,10.9,35.0,24.0,23.7,31.0,Cabo Verde,0.5,$3.7 ,4.0,2.0,"$6,944",10.3,0.8,108.6,126.0
31,Central African Republic,CentralAfricanRepublic,Sub-Saharan Africa,161,38,49.1,19.6,29.6,23.2,65.2,94.2,94.3,24.2,40.1,72.3,51.0,45,30,14.5,50.0,30.0,9.0,13.9,Central African Republic,5.0,$3.4 ,4.0,-4.5,$677,6.0,3.8,17.2,53.4
32,Chad,Chad,Sub-Saharan Africa,159,36,49.9,26.7,24.6,23.2,46.1,92.4,85.2,28.1,43.2,82.3,47.2,60,40,16.4,60.0,45.0,5.3,15.9,Chad,12.2,$28.6 ,-3.1,1.0,"$2,344",5.9,-0.9,335.0,52.5
33,Chile,Chile,Americas,18,3,75.4,68.7,56.3,62.3,77.3,81.0,89.0,76.6,65.0,84.5,88.8,85,70,0.6,35.0,25.0,20.4,25.2,Chile,18.4,$451.1 ,1.5,2.2,"$24,537",7.0,2.2,"6,729.6",23.6
34,China,China,Asia-Pacific,100,20,58.4,49.9,75.2,49.1,70.4,70.1,76.0,56.2,64.2,71.9,73.0,25,20,3.5,45.0,25.0,17.5,31.6,China,1390.1,"$23,159.1 ",6.9,7.1,"$16,660",4.7,1.6,"136,320.0",47.8
35,Colombia,Colombia,Americas,49,8,67.3,59.2,34.3,33.5,74.3,75.0,79.2,71.4,78.5,75.6,76.0,80,70,7.0,33.0,33.0,19.9,28.9,Colombia,49.3,$714.0 ,1.8,3.2,"$14,485",8.9,4.3,"14,518.0",49.4
36,Comoros,Comoros,Sub-Saharan Africa,124,20,55.4,36.5,29.6,24.4,63.9,73.4,91.7,57.2,60.3,82.8,70.0,45,30,5.0,30.0,50.0,14.5,29.8,Comoros,0.8,$1.3 ,2.5,2.2,"$1,588",4.3,1.0,8.6,28.4
37,"Congo, Democratic Republic of the Congo",DemcoraticRepublicCongo,Sub-Saharan Africa,157,34,50.3,25.3,30.7,26.2,73.8,93.9,96.9,53.2,41.9,49.1,62.6,30,20,11.2,30.0,40.0,10.8,14.2,"Congo, Democratic Republic of the Congo",86.7,$68.5 ,3.4,6.1,$790,3.7,41.5,"1,340.2",15.7
38,"Congo, Republic of",RepublicCongo,Sub-Saharan Africa,176,46,39.7,33.2,29.6,25.3,59.5,40.6,0.0,38.2,35.8,82.6,56.8,45,30,11.6,45.0,34.0,29.5,44.5,"Congo, Republic of",4.3,$28.9 ,-4.6,1.1,"$6,642",11.0,0.5,"1,158.8",119.1
39,Costa Rica,CostaRica,Americas,61,11,65.3,58.3,54.0,54.5,79.2,88.4,42.5,67.2,55.2,83.2,81.4,70,50,1.8,25.0,30.0,23.6,19.6,Costa Rica,5.0,$83.9 ,3.2,3.4,"$16,877",8.1,1.6,"3,007.1",49.1
40,Côte d'Ivoire,CoeDivoire,Sub-Saharan Africa,78,5,62.4,40.9,47.8,38.1,77.5,83.9,74.3,61.0,52.5,74.2,73.6,75,50,8.2,36.0,25.0,18.2,23.1,Côte d'Ivoire,25.0,$96.9 ,7.8,8.6,"$3,883",2.6,0.8,674.7,46.4
41,Croatia,Croatia,Europe,86,38,61.4,66.0,42.9,38.6,66.4,33.4,85.4,60.7,44.0,78.5,86.0,75,60,2.0,40.0,18.0,37.9,47.1,Croatia,4.1,$101.3 ,2.8,1.5,"$24,424",11.2,1.1,"2,104.2",78.4
42,Cuba,Cuba,Americas,178,31,27.8,31.6,10.0,37.7,48.8,0.0,15.6,20.0,20.0,65.6,64.0,10,10,8.0,50.0,30.0,41.5,64.2,Cuba,11.5,$148.0 ,0.9,1.9,"$12,920",2.6,5.5,N/A,47.7
43,Cyprus,Cyprus,Europe,44,22,68.1,73.1,48.1,43.7,74.9,55.2,80.3,76.9,59.5,84.0,86.0,75,60,2.0,35.0,12.5,33.6,38.7,Cyprus,0.9,$31.6 ,3.9,0.3,"$37,023",11.0,0.7,"6,343.3",99.3
44,Czech Republic,CzechRepublic,Europe,23,13,73.7,74.8,47.6,52.1,82.6,52.1,97.6,72.4,78.1,81.5,86.0,80,80,2.0,15.0,19.0,34.0,40.0,Czech Republic,10.6,$375.7 ,4.3,2.9,"$35,512",2.9,2.4,"7,412.2",34.7
45,Denmark,Denmark,Europe,14,6,76.7,86.2,77.8,85.8,42.0,14.4,96.7,90.7,86.4,84.1,86.0,90,80,2.0,56.0,23.5,45.9,53.4,Denmark,5.7,$286.8 ,2.1,1.6,"$49,883",5.7,1.1,"-3,114.7",36.4
46,Djibouti,Djibouti,Sub-Saharan Africa,169,43,47.1,29.7,18.1,28.1,76.2,27.3,18.1,54.7,60.4,72.7,50.4,80,50,17.3,30.0,25.0,29.2,49.2,Djibouti,1.0,$3.6 ,6.7,6.1,"$3,559",5.8,0.7,165.0,30.6
47,Dominica,Dominica,Americas,72,14,63.6,49.2,63.8,54.5,72.1,53.5,84.7,70.7,60.4,85.7,68.2,70,30,8.4,35.0,30.0,25.8,39.4,Dominica,0.1,$0.8 ,-4.2,0.0,"$11,102",N/A,0.6,18.9,87.6
48,Dominican Republic,DominicanRepublic,Americas,89,19,61.0,50.6,18.1,23.2,84.6,90.3,89.9,51.9,57.6,79.7,75.8,70,40,4.6,25.0,27.0,13.6,17.9,Dominican Republic,10.2,$172.4 ,4.6,6.1,"$16,944",5.5,3.3,"3,570.0",37.7
49,Ecuador,Ecuador,Americas,170,29,46.9,35.9,20.2,25.3,77.0,55.5,32.1,54.1,48.2,73.5,66.4,35,40,6.8,35.0,25.0,21.2,38.5,Ecuador,16.8,$192.6 ,2.7,2.0,"$11,482",3.8,0.4,606.4,45.0
50,Egypt,Egypt,Middle East and North Africa,144,11,52.5,37.0,48.3,29.2,85.2,68.1,0.0,65.9,51.6,62.3,71.8,60,50,6.6,25.0,23.0,18.0,32.6,Egypt,94.8,"$1,201.2 ",4.2,3.8,"$12,671",12.1,23.5,"7,391.7",103.3
51,El Salvador,ElSalvador,Americas,84,17,61.8,37.6,29.1,23.4,78.1,86.3,81.9,57.2,53.1,79.0,81.4,75,60,1.8,30.0,30.0,19.7,21.4,El Salvador,6.4,$57.0 ,2.4,2.1,"$8,948",4.5,1.0,791.9,59.3
52,Equatorial Guinea,EquatorialGuinea,Sub-Saharan Africa,174,44,41.0,29.7,18.1,15.8,71.3,67.6,16.4,37.6,32.7,83.7,48.8,40,30,15.6,35.0,35.0,20.4,32.8,Equatorial Guinea,0.8,$30.4 ,-4.4,-5.6,"$36,017",6.9,0.7,304.1,42.7
53,Eritrea,Eritrea,Sub-Saharan Africa,177,47,38.9,35.5,18.1,19.7,81.4,73.9,0.0,17.7,70.0,61.0,69.2,0,20,5.4,30.0,30.0,8.0,29.5,Eritrea,5.9,$9.4 ,5.0,3.4,"$1,581",6.4,9.0,55.5,131.2
54,Estonia,Estonia,Europe,15,7,76.6,81.5,76.0,73.1,79.9,51.1,99.8,75.3,57.2,79.6,86.0,90,70,2.0,20.0,20.0,34.7,40.4,Estonia,1.3,$41.6 ,4.9,2.7,"$31,750",5.8,3.7,784.4,8.8
156,Eswatini,Eswatini,Sub-Saharan Africa,132,23,54.7,41.7,42.9,35.0,74.8,65.6,18.3,59.2,67.5,73.7,87.6,50,40,1.2,33.0,28.0,25.5,33.9,Eswatini,1.1,$11.3 ,0.2,2.0,"$9,884",26.4,6.3,-136.8,29.2
55,Ethiopia,Ethiopia,Sub-Saharan Africa,137,26,53.6,32.6,40.9,35.1,77.2,90.4,83.3,48.6,58.0,60.8,60.8,35,20,12.1,35.0,30.0,12.4,17.9,Ethiopia,92.7,$200.2 ,10.9,9.9,"$2,161",5.2,9.9,"3,586.4",56.2
56,Fiji,Fiji,Asia-Pacific,81,18,62.2,67.3,42.9,23.4,81.1,71.7,82.4,63.0,72.9,73.5,62.8,55,50,11.1,29.0,20.0,25.5,30.7,Fiji,0.9,$8.7 ,3.8,3.7,"$9,777",6.3,3.4,299.0,46.6
57,Finland,Finland,Europe,20,11,74.9,89.6,81.2,92.5,66.8,7.2,86.4,89.4,50.3,84.8,86.0,85,80,2.0,31.3,20.0,44.1,55.6,Finland,5.5,$244.0 ,3.0,0.8,"$44,333",8.6,0.8,"1,327.9",61.4
58,France,France,Europe,71,35,63.8,82.5,66.1,67.9,48.4,3.9,64.9,81.2,45.2,79.1,81.0,75,70,2.0,45.0,33.0,45.3,56.6,France,64.8,"$2,835.8 ",1.8,1.1,"$43,761",9.4,1.2,"49,794.9",97.0
59,Gabon,Gabon,Sub-Saharan Africa,118,17,56.3,28.1,30.6,35.5,75.8,86.6,82.1,52.1,53.0,80.0,51.2,60,40,16.9,35.0,30.0,17.3,21.1,Gabon,1.9,$36.7 ,0.8,3.4,"$19,254",19.7,3.0,"1,498.0",61.1
60,Gambia,Gambia,Sub-Saharan Africa,146,30,52.4,39.9,42.5,41.2,74.3,70.7,0.0,54.0,67.4,62.4,61.6,65,50,14.2,35.0,32.0,17.9,31.3,Gambia,2.1,$3.6 ,3.5,3.1,"$1,713",9.5,8.0,87.5,123.2
61,Georgia,Georgia,Europe,16,8,75.9,65.9,54.6,58.5,87.1,73.6,93.9,85.8,76.6,76.0,88.6,80,70,0.7,20.0,15.0,25.8,29.6,Georgia,3.7,$39.7 ,4.8,3.7,"$10,747",11.6,6.0,"1,861.9",44.9
62,Germany,Germany,Europe,24,14,73.5,79.9,75.4,81.3,60.8,42.3,91.8,83.3,52.8,77.9,86.0,80,70,2.0,47.5,15.8,37.6,43.9,Germany,82.7,"$4,170.8 ",2.5,1.7,"$50,425",3.8,1.7,"34,726.3",64.1
63,Ghana,Ghana,Sub-Saharan Africa,109,13,57.5,49.1,44.2,35.5,78.8,82.0,23.9,56.5,59.9,66.3,63.4,70,60,10.8,35.0,25.0,16.5,24.5,Ghana,28.3,$133.7 ,8.4,5.5,"$4,729",2.4,12.4,"3,255.0",71.8
64,Greece,Greece,Europe,106,43,57.7,52.4,49.5,37.7,59.1,23.3,79.0,74.1,52.5,79.1,81.0,55,50,2.0,42.0,29.0,38.6,50.6,Greece,10.8,$298.7 ,1.4,-0.3,"$27,737",21.5,1.1,"4,046.0",181.9
65,Guatemala,Guatemala,Americas,77,16,62.6,40.3,32.3,26.4,79.2,95.6,96.2,53.6,48.7,77.0,82.2,70,50,1.4,31.0,31.0,12.6,12.1,Guatemala,16.9,$137.8 ,2.8,3.6,"$8,145",2.7,4.4,"1,146.7",24.4
66,Guinea,Guinea,Sub-Saharan Africa,120,19,55.7,34.7,32.6,25.5,69.4,89.8,87.2,54.6,54.9,66.4,63.2,50,40,10.9,40.0,35.0,15.3,18.4,Guinea,13.0,$26.5 ,6.7,4.9,"$2,041",4.5,8.9,576.5,39.7
67,Guinea-Bissau,GuineaBissau,Sub-Saharan Africa,135,25,54.0,32.6,42.9,25.3,88.8,86.7,81.4,35.9,61.2,78.1,55.6,30,30,12.2,20.0,25.0,9.6,21.0,Guinea-Bissau,1.7,$3.1 ,5.5,4.3,"$1,845",6.1,1.1,16.6,42.0
68,Guyana,Guyana,Americas,113,23,56.8,41.7,42.9,33.2,67.0,69.4,77.6,59.3,62.0,76.9,66.8,55,30,6.6,33.3,40.0,24.4,32.0,Guyana,0.8,$6.3 ,2.1,3.5,"$8,161",12.0,2.1,212.2,50.7
69,Haiti,Haiti,Americas,143,25,52.7,10.4,25.3,20.3,79.9,88.3,95.9,36.2,62.6,66.5,72.0,45,30,6.5,30.0,30.0,14.5,19.7,Haiti,11.0,$19.9 ,1.2,2.2,"$1,815",14.0,14.7,374.9,31.1
70,Honduras,Honduras,Americas,93,20,60.2,43.4,31.0,25.3,82.8,78.2,95.9,56.9,32.0,73.0,79.4,65,60,2.8,25.0,25.0,21.6,27.0,Honduras,8.3,$46.2 ,4.8,3.6,"$5,562",4.5,3.9,"1,185.7",43.9
71,Hong Kong,HongKong,Asia-Pacific,1,1,90.2,93.3,75.3,83.8,93.1,90.3,100.0,96.4,89.2,86.4,95.0,90,90,0.0,15.0,16.5,14.0,17.9,Hong Kong SAR,7.4,$454.9 ,3.8,2.8,"$61,393",3.1,1.5,"104,333.0",0.1
72,Hungary,Hungary,Europe,64,31,65.0,60.9,45.2,35.3,78.6,31.7,85.0,61.1,64.7,81.8,86.0,80,70,2.0,15.0,19.0,39.4,47.7,Hungary,9.8,$289.0 ,4.0,3.2,"$29,474",4.2,2.4,"2,491.6",69.9
73,Iceland,Iceland,Europe,11,4,77.1,87.4,63.8,83.8,72.7,44.0,96.7,88.4,64.1,81.7,87.0,85,70,1.5,31.8,20.0,36.4,43.2,Iceland,0.3,$17.6 ,3.6,4.4,"$51,842",2.8,1.8,-5.4,40.9
74,India,India,Asia-Pacific,129,31,55.2,57.3,61.6,47.8,79.4,77.3,14.7,57.1,41.8,72.4,72.4,40,40,6.3,30.9,32.4,7.2,27.5,India,1316.9,"$9,459.0 ",6.7,7.2,"$7,183",3.5,3.6,"39,916.1",70.2
75,Indonesia,Indonesia,Asia-Pacific,56,11,65.8,52.2,53.5,39.5,83.7,91.4,88.1,69.3,49.3,77.4,79.8,45,60,2.6,30.0,25.0,10.4,16.9,Indonesia,262.0,"$3,242.8 ",5.1,5.1,"$12,377",4.2,3.8,"23,063.1",28.9
76,Iran,Iran,Middle East and North Africa,155,13,51.1,33.5,41.3,35.0,80.9,89.8,89.5,62.2,50.7,60.1,54.6,5,10,15.2,35.0,25.0,8.0,18.5,Iran,81.4,"$1,644.7 ",4.3,3.6,"$20,200",12.5,9.9,"5,019.0",40.9
77,Iraq,Iraq,Middle East and North Africa,N/A,N/A,N/A,37.0,12.3,20.3,N/A,52.8,13.3,54.4,53.1,81.4,N/A,N/A,N/A,N/A,15.0,15.0,N/A,39.7,Iraq,38.9,$658.8 ,-0.8,4.7,"$16,954",8.2,0.1,"-5,032.4",58.0
78,Ireland,Ireland,Europe,6,2,80.5,85.8,68.4,78.0,76.3,77.4,89.0,83.1,75.3,87.0,86.0,90,70,2.0,41.0,12.5,23.0,27.4,Ireland,4.7,$357.2 ,7.8,9.7,"$75,538",6.4,0.3,"28,974.6",68.5
79,Israel,Israel,Middle East and North Africa,27,2,72.8,80.0,73.4,67.9,61.9,52.4,85.3,71.4,65.1,86.2,84.4,75,70,2.8,48.0,23.0,31.2,39.8,Israel,8.7,$316.5 ,3.3,3.5,"$36,340",4.3,0.2,"18,954.0",61.0
80,Italy,Italy,Europe,80,36,62.2,71.7,49.8,43.7,55.6,26.5,71.3,71.7,51.1,84.0,86.0,85,50,2.0,43.0,27.5,42.9,49.5,Italy,60.6,"$2,310.9 ",1.5,0.3,"$38,140",11.2,1.3,"17,077.1",131.5
81,Jamaica,Jamaica,Americas,39,5,68.6,60.7,49.2,45.0,80.2,76.0,80.0,78.0,73.6,82.6,68.4,80,50,10.8,25.0,25.0,27.1,28.3,Jamaica,2.8,$26.1 ,1.0,0.8,"$9,163",12.5,4.4,888.0,104.1
82,Japan,Japan,Asia-Pacific,30,8,72.1,84.1,68.5,78.0,68.2,55.0,55.7,80.5,79.0,85.9,80.0,70,60,2.5,40.8,23.9,30.7,38.7,Japan,126.7,"$5,428.8 ",1.7,1.3,"$42,832",2.8,0.5,"10,429.8",236.4
83,Jordan,Jordan,Middle East and North Africa,53,4,66.5,58.4,52.6,50.3,91.4,73.4,60.6,61.8,52.7,85.0,81.4,70,60,4.3,14.0,20.0,16.3,29.8,Jordan,7.1,$89.1 ,2.3,2.5,"$12,494",14.9,3.3,"1,664.8",95.6
84,Kazakhstan,Kazakhstan,Asia-Pacific,59,12,65.4,59.3,56.1,40.3,93.4,83.7,41.0,73.9,86.2,70.9,80.0,50,50,2.5,10.0,20.0,12.8,23.3,Kazakhstan,18.2,$477.6 ,4.0,3.3,"$26,252",4.9,7.4,"4,633.7",21.2
85,Kenya,Kenya,Sub-Saharan Africa,130,22,55.1,53.8,46.9,32.1,79.5,77.8,13.8,55.8,63.4,72.7,60.4,55,50,12.3,30.0,30.0,15.7,27.2,Kenya,46.7,$163.1 ,4.8,5.5,"$3,491",11.5,8.0,671.7,55.6
86,Kiribati,Kiribati,Asia-Pacific,168,41,47.3,44.1,34.3,35.1,73.0,0.0,98.6,41.9,50.7,81.1,53.2,25,30,15.9,35.0,35.0,15.7,117.9,Kiribati,0.1,$0.2 ,3.1,3.6,"$1,976",N/A,2.2,1.4,26.3
87,"Korea, North ",NorthKorea,Asia-Pacific,180,43,5.9,31.6,5.0,24.4,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0,0,50.0,N/A,N/A,N/A,100.0,"Korea, North ",25.4,$40.0 (2015 est.),1.1,N/A,"$1,700 (2015 est.)",4.8,N/A,63.4,N/A
88,"Korea, South",SouthKorea,Asia-Pacific,29,7,72.3,79.3,57.5,50.5,64.2,68.6,96.8,91.3,57.4,82.0,80.4,70,70,4.8,46.2,27.5,26.3,32.4,"Korea, South",51.5,"$2,029.0 ",3.1,3.0,"$39,434",3.7,1.9,"17,052.8",39.8
185,Kosovo,Kosovo,Europe,51,26,67.0,57.2,53.5,44.7,92.5,77.7,96.0,73.8,64.9,78.3,70.8,65,30,7.1,10.0,10.0,23.5,27.2,Kosovo,1.9,$19.6 ,4.1,3.4,"$10,515",N/A,1.5,3.6,20.9
89,Kuwait,Kuwait,Middle East and North Africa,90,8,60.8,52.9,43.3,35.3,97.7,17.3,99.1,57.4,61.7,70.6,79.0,55,60,3.0,0.0,15.0,1.6,52.5,Kuwait,4.4,$291.5 ,-2.5,-0.1,"$66,163",2.1,1.5,300.5,20.6
90,Kyrgyz Republic,KyrgyzRepublic,Asia-Pacific,79,17,62.3,49.9,27.9,27.2,94.1,54.2,78.4,73.4,79.8,74.4,78.6,60,50,3.2,10.0,10.0,19.7,39.1,Kyrgyz Republic,6.3,$23.0 ,4.5,5.4,"$3,667",7.3,3.2,93.8,59.1
91,Laos,Laos,Asia-Pacific,110,24,57.4,38.8,42.5,33.5,86.9,85.3,66.5,60.1,60.1,78.5,81.8,35,20,1.6,24.0,24.0,12.8,22.1,Lao P.D.R.,6.7,$49.2 ,6.8,7.4,"$7,366",0.7,0.8,813.0,62.8
